"","COUNTY","CTYNAME","AGEGRP","TOT_POP","TOT_MALE","TOT_FEMALE","WA_MALE","WA_FEMALE","BA_MALE","BA_FEMALE","AA_MALE","AA_FEMALE","IA_MALE","IA_FEMALE","NA_MALE","NA_FEMALE","H_MALE","H_FEMALE","TOM_MALE","TOM_FEMALE","TOT_WA","TOT_BA","TOT_AA","TOT_IA","TOT_NA","TOT_H","TOT_TOM"
"11856",103,"Marquette",18,1616,642,974,629,961,1,0,1,6,7,2,1,0,2,8,3,5,1590,1,7,9,1,10,8
"12066",105,"Mason",0,29144,14439,14705,13753,14063,149,115,107,98,160,157,0,0,694,661,270,272,27816,264,205,317,0,1355,542
"12083",105,"Mason",17,844,378,466,368,457,2,0,0,1,7,5,0,0,5,9,1,3,825,2,1,12,0,14,4
"12084",105,"Mason",18,821,278,543,277,532,0,1,0,3,1,3,0,0,9,7,0,4,809,1,3,4,0,16,4
"12294",107,"Mecosta",0,43453,21857,21596,20276,20110,627,624,200,190,175,180,13,5,557,496,566,487,40386,1251,390,355,18,1053,1053
"12311",107,"Mecosta",17,955,417,538,395,522,3,1,5,2,1,3,1,1,8,5,12,9,917,4,7,4,2,13,21
"12312",107,"Mecosta",18,757,259,498,250,488,0,4,1,1,1,1,1,0,4,7,6,4,738,4,2,2,1,11,10
"12522",109,"Menominee",0,22780,11547,11233,10848,10570,92,60,46,62,372,323,4,3,223,233,185,215,21418,152,108,695,7,456,400
"12539",109,"Menominee",17,669,311,358,309,351,0,1,0,1,2,1,0,0,2,4,0,4,660,1,1,3,0,6,4
"12540",109,"Menominee",18,773,289,484,281,481,0,1,0,0,6,1,0,1,3,2,2,0,762,1,0,7,1,5,2
"12750",111,"Midland",0,83156,41170,41986,38534,39436,702,509,904,1073,229,233,34,33,1284,1150,767,702,77970,1211,1977,462,67,2434,1469
"12767",111,"Midland",17,2026,876,1150,845,1106,2,6,20,26,2,5,0,0,4,13,7,7,1951,8,46,7,0,17,14
"12768",111,"Midland",18,2200,810,1390,795,1361,1,6,10,13,0,4,0,1,3,28,4,5,2156,7,23,4,1,31,9
"12978",113,"Missaukee",0,15118,7620,7498,7346,7195,52,36,44,55,58,68,0,2,251,210,120,142,14541,88,99,126,2,461,262
"12995",113,"Missaukee",17,418,176,242,174,238,1,0,1,2,0,1,0,0,3,0,0,1,412,1,3,1,0,3,1
"12996",113,"Missaukee",18,331,123,208,119,203,0,0,1,1,0,0,0,1,3,1,3,3,322,0,2,0,1,4,6
"13206",115,"Monroe",0,150500,74308,76192,69972,71970,2015,1983,477,559,301,288,28,22,2848,2793,1515,1370,141942,3998,1036,589,50,5641,2885
"13223",115,"Monroe",17,3219,1354,1865,1305,1807,23,35,7,6,7,4,0,0,12,13,12,13,3112,58,13,11,0,25,25
"13224",115,"Monroe",18,3272,1099,2173,1071,2137,13,19,6,7,3,7,0,0,6,13,6,3,3208,32,13,10,0,19,9
"13434",117,"Montcalm",0,63888,33022,30866,30711,29827,1452,142,116,156,219,180,15,13,1267,1047,509,548,60538,1594,272,399,28,2314,1057
"13451",117,"Montcalm",17,1431,649,782,633,763,4,3,2,3,3,5,0,1,5,7,7,7,1396,7,5,8,1,12,14
"13452",117,"Montcalm",18,1275,449,826,441,814,1,1,1,0,3,3,0,1,5,8,3,7,1255,2,1,6,1,13,10
"13662",119,"Montmorency",0,9328,4765,4563,4609,4404,33,20,7,19,33,43,1,0,71,60,82,77,9013,53,26,76,1,131,159
"13679",119,"Montmorency",17,367,184,183,176,179,3,0,0,0,3,2,0,0,1,2,2,2,355,3,0,5,0,3,4
"13680",119,"Montmorency",18,310,126,184,124,176,0,0,0,2,0,1,0,0,2,2,2,5,300,0,2,1,0,4,7
"13890",121,"Muskegon",0,173566,85950,87616,69888,71004,12026,12204,465,733,867,897,39,30,5106,4973,2665,2748,140892,24230,1198,1764,69,10079,5413
"13907",121,"Muskegon",17,3469,1433,2036,1331,1814,79,193,5,10,13,10,0,0,23,34,5,9,3145,272,15,23,0,57,14
"13908",121,"Muskegon",18,3464,1211,2253,1116,2029,77,192,1,6,10,6,0,0,25,37,7,20,3145,269,7,16,0,62,27
"14118",123,"Newaygo",0,48980,24658,24322,23496,23320,381,222,114,138,205,218,8,7,1529,1390,454,417,46816,603,252,423,15,2919,871
"14135",123,"Newaygo",17,1190,575,615,562,600,7,5,0,2,3,4,0,0,11,15,3,4,1162,12,2,7,0,26,7
"14136",123,"Newaygo",18,972,381,591,368,578,0,6,4,1,4,3,0,0,9,4,5,3,946,6,5,7,0,13,8
"14346",125,"Oakland",0,1257584,616754,640830,469107,477499,78644,96706,52736,49790,1978,2070,208,230,27323,27215,14081,14535,946606,175350,102526,4048,438,54538,28616
"14363",125,"Oakland",17,23478,9792,13686,8240,11302,967,1765,502,502,14,21,0,1,155,207,69,95,19542,2732,1004,35,1,362,164
"14364",125,"Oakland",18,27502,9405,18097,8169,15283,856,2207,303,489,3,11,1,3,125,213,73,104,23452,3063,792,14,4,338,177
"14574",127,"Oceana",0,26467,13389,13078,12694,12460,201,144,34,43,220,189,4,7,2135,1850,236,235,25154,345,77,409,11,3985,471
